dayofyear,pr
1952-11-01,0.109675325
1952-11-02,0.32102868
1952-11-03,0.30964682
1952-11-04,0.0029871876
1952-11-05,0.07407997
1952-11-06,0.0060062436
1952-11-07,0.006552431
1952-11-08,0.2243672
1952-11-09,0.10398403
1952-11-10,0.9265711
1952-11-11,0.100181036
1952-11-12,0.00652073
1952-11-13,0.04154332
1952-11-14,0.68124646
1952-11-15,0.25754
1952-11-16,0.60791034
1952-11-17,0.056282304
1952-11-18,0.020189112
1952-11-19,0.20333521
1952-11-20,0.003716399
1952-11-21,0.97013986
1952-11-22,2.8186092
1952-11-23,0.011620263
1952-11-24,0.0037516658
1952-11-25,0.42059582
1952-11-26,0.466233
1952-11-27,2.8739707
1952-11-28,17.999418
1952-11-29,4.722378
1952-11-30,7.0858617
