subcatchment ,perc_greenroof,time,runoff_cfs
Subcatchment 67,30_perc,5,0
Subcatchment 67,30_perc,5.15,4.57
Subcatchment 67,30_perc,5.3,7.07
Subcatchment 67,30_perc,5.45,10.88
Subcatchment 67,30_perc,6,8.42
Subcatchment 67,30_perc,6.15,3.02
Subcatchment 67,30_perc,6.3,2.75
Subcatchment 67,30_perc,6.45,0.67
Subcatchment 67,30_perc,7,2.37
Subcatchment 67,30_perc,7.15,0.74
Subcatchment 67,30_perc,7.3,0.42
Subcatchment 67,30_perc,7.45,0.28
Subcatchment 67,30_perc,8,0.2
Subcatchment 67,30_perc,8.15,0.15
Subcatchment 67,30_perc,8.3,0.12
Subcatchment 67,30_perc,8.45,0.09
Subcatchment 67,30_perc,9,1.79
Subcatchment 67,30_perc,9.15,2.22
Subcatchment 67,30_perc,9.3,0.45
Subcatchment 67,30_perc,9.45,0.14
Subcatchment 67,30_perc,10,1.94
Subcatchment 67,30_perc,10.15,2.49
Subcatchment 67,30_perc,10.3,0.74
Subcatchment 67,30_perc,10.45,0.42
Subcatchment 67,30_perc,11,4.25
Subcatchment 67,50_perc,0.15,0
Subcatchment 67,50_perc,0.3,0
Subcatchment 67,50_perc,0.45,0
Subcatchment 67,50_perc,1,0
Subcatchment 67,50_perc,1.15,0
Subcatchment 67,50_perc,1.3,0
Subcatchment 67,50_perc,1.45,0
Subcatchment 67,50_perc,2,0
Subcatchment 67,50_perc,2.15,0
Subcatchment 67,50_perc,2.3,0
Subcatchment 67,50_perc,2.45,0
Subcatchment 67,50_perc,3,0
